method,episode_id,family,case_type,error_bucket,retrieval_score,guard_score,action_score,intent_family_score,bonus,base_score,specificity,final_score,fire_threshold,predicted_state,predicted_contract_id,success,failure_type
PACTFull_current,controlled_research_ideation_027_contract_swap,research_ideation,contract_swap,false_fire_contract_swap,0.09245003270420485,0.09245003270420485,0.0,0.0,0.22,0.1294300457858868,0.09245003270420485,0.34943004578588677,0.14,fire,nut_safety,False,wrong_contract_false_fire
PACTFull_current,controlled_travel_planning_020_wrong_scope,travel_planning,wrong_scope,false_fire_wrong_scope,0.0,0.0,0.0,1.0,0.22,0.0,0.0,0.33999999999999997,0.14,fire,entry_constraints,False,false_trigger
PACTFull_current,controlled_email_rewriting_011_near_miss,email_rewriting,near_miss,false_fire_near_miss,0.2581988897471611,0.09622504486493763,0.20412414523193154,0.0,0.22,0.34771994400111905,0.2581988897471611,0.567719944001119,0.14,fire,plain_professional_email,False,false_trigger
PACTFull_current,controlled_email_rewriting_027_contract_swap,email_rewriting,contract_swap,false_fire_contract_swap,0.16724840200141816,0.0,0.1386750490563073,0.0,0.22,0.201917164265495,0.16724840200141816,0.42191716426549497,0.14,fire,research_prior_work,False,wrong_contract_false_fire
PACTFull_current,controlled_benchmark_novelty_027_contract_swap,benchmark_novelty,contract_swap,false_fire_contract_swap,0.0890870806374748,0.0890870806374748,0.0668153104781061,0.0,0.22,0.14142574051199122,0.0890870806374748,0.39233865987451644,0.14,fire,research_prior_work,False,wrong_contract_false_fire
PACTFull_current,controlled_scheduling_027_contract_swap,scheduling,contract_swap,false_fire_contract_swap,0.16724840200141816,0.0,0.1386750490563073,0.0,0.22,0.201917164265495,0.16724840200141816,0.42191716426549497,0.14,fire,research_prior_work,False,wrong_contract_false_fire
PACTFull_current,controlled_current_facts_027_contract_swap,current_facts,contract_swap,false_fire_contract_swap,0.15075567228888181,0.0,0.125,0.0,0.22,0.18200567228888181,0.15075567228888181,0.40200567228888184,0.14,fire,research_prior_work,False,wrong_contract_false_fire
PACTFull_current,controlled_legal_policy_caution_027_contract_swap,legal_policy_caution,contract_swap,false_fire_contract_swap,0.16724840200141816,0.0,0.1386750490563073,0.0,0.22,0.201917164265495,0.16724840200141816,0.42191716426549497,0.14,fire,research_prior_work,False,wrong_contract_false_fire
PACTFull_current,controlled_legal_policy_caution_030_contract_swap,legal_policy_caution,contract_swap,false_fire_contract_swap,0.09245003270420485,0.09245003270420485,0.0,0.0,0.22,0.1294300457858868,0.09245003270420485,0.34943004578588677,0.14,fire,entry_constraints,False,wrong_contract_false_fire
PACTFull_current,controlled_data_analysis_hygiene_030_contract_swap,data_analysis_hygiene,contract_swap,false_fire_contract_swap,0.1889822365046136,0.0,0.16116459280507606,0.0,0.22,0.2292733847058826,0.1889822365046136,0.44927338470588263,0.14,fire,entry_constraints,False,wrong_contract_false_fire
PACTFull_current,naturalistic_food_safety_014_near_miss,food_safety,near_miss,false_fire_near_miss,0.13333333333333333,0.0,0.14552137502179976,0.0,0.22,0.16971367708878327,0.14552137502179976,0.38971367708878324,0.14,fire,nut_safety,False,false_trigger
